"色號","應用","1/3SD","Hue","Chroma","沖淡色耐光","本色耐光","耐溫","耐候","耐遷移",""
"PY214","PE","1.9","97.2","77.7","6~7","7","280","~","~",""
"PY214","PVC","9.2","97.4","78.5","6~7","7","~","~","5",""
"PY214","PS","2.3","99.8","70.5","6","7","280","~","~",""
"PY214","ABS","2.8","97.4","76.5","6","6~7","260","~","~",""
"PY81","PE","2.7","97.7","77.8","7","7","200","~","~",""
"PY81","PVC","11.5","97.4","77.8","7","7","~","~","5",""
"PY17","PE","1.3","94.7","79.1","6~7","7","200","~","~",""
"PY17","PVC","4.2","94.3","78.2","6~7","7","~","~","3",""
"PY155","PE","1.8","93","74.3","7~8","8","260","3","~",""
"PY155","PVC","6.1","92.9","76.8","7~8","8","~","3","3~4",""
"PY155","PS","2","91.5","75.5","7~8","8","260","~","~",""
"PY14","PE","1","92.4","72.3","4~5","5","200","~","~",""
"PY14","PVC","3.1","92.8","78.9","6","6~7","~","~","3",""
"PY120","PE","3.8","89","76.1","8","8","260","4~5","~",""
"PY120","PVC","10.4","90","77.4","8","8","~","4","5",""
"PY120","PS","3","88.7","75.5","8","8","260","~","~",""
"PY120","ABS","4.6","90.5","76.5","8","8","250","~","~",""
"PY180","PE","1.6","88.3","74.9","6~7","6~7","290","~","~",""
"PY180","PVC","5.5","88.7","75.9","6~7","6~7","~","~","5",""
"PY180","PS","1.5","87.6","76.1","6~7","6~7","300","~","~",""
"PY180","ABS","1.5","88.9","76.7","6~7","6~7","290","~","~",""
"PY180","PC","1.6","89.9","73.8","5~6","5~6","300","~","~",""
"PY13","PE","1.1","85.9","76.1","6","6~7","200","~","~",""
"PY13","PVC","2.4","89.1","77.3","6~7","6~7","~","~","3",""
"PY191","PE","3.7","79.6","73.8","6~7","7","300","~","~",""
"PY191","PVC","11.7","78.3","76.5","6","7","~","~","5",""
"PY191","PS","3.1","78.5","75.8","7","7","300","~","~",""
"PY191","ABS","3.2","80.1","75.1","7","7","300","~","~",""
"PY191","PC","3.5","82","74.2","4~5","6","330","~","~",""
"PY83(02","PE","0.8","79.9","76","6~7","7","200","~","~",""
"PY83(02","PVC","2.2","81.3","77","7~8","7~8","~","4~5","5",""
"PY83(HR","PE","0.9","79.5","76","6~7","7","200","~","~",""
"PY83(HR","PVC","2.5","82.8","76.2","7~8","7~8","~","4~5","5",""
"PY139","PE","1.1","75.8","70.3","7","7","240","~","~",""
"PY139","PVC","3.5","77.7","76","7","7","~","~","5",""
"PY181","PE","4","66.5","74.8","8","8","300","3~4","~",""
"PY181","PVC","13.1","65.3","75.5","8","8","~","4","5",""
"PY181","PS","4.4","65.1","73.4","8","8","300","~","~",""
"PY181","ABS","5","64.7","73.8","8","8","280","~","~",""
"PO13","PE","1.2","50.6","73.8","4","5","200","~","~",""
"PO13","PVC","5.4","47.9","75.7","4~5","6","~","~","2",""
"PO72","PE","2.4","56.7","74.4","8","8","290","4~5","~",""
"PO72","PVC","5.7","60.1","76.5","7~8","8","~","4","5",""
"PO72","PS","2.3","56.7","73.3","8","8","300","~","~",""
"PO72","ABS","2.4","56.5","73","8","8","290","~","~",""
"PO43","PE","2","39.9","71.2","8","8","280","5","~",""
"PO43","PVC","6.1","42.3","73.9","7~8","8","~","4","4~5",""
"PO43","PS","1.8","43.6","72.3","7~8","8","300","~","~",""
"PO43","ABS","2.2","38.8","70.5","7~8","8","290","~","~",""
"PO43","PC","1.7","43.3","72","7~8","8","290","~","~",""
"PO34","PE","1.9","42.1","68.7","5~6","6~7","200","~","~",""
"PO34","PVC","4.6","39.1","71","6","7~8","~","~","2~3",""
"PO68","PE","2.6","33.9","55.9","8","8","300","3","~",""
"PO68","PVC","9.1","37","61.5","7~8","7~8","~","4","5",""
"PO68","PS","2.4","34.6","59","7","7","300","~","~",""
"PO68","ABS","2.6","34.9","60","6~7","6~7","300","~","~",""
"PO68","PC","1.8","36.6","58.9","7","8","300","~","~",""
"PO38","PE","3.5","31","63.5","7","7","280","~","~",""
"PO38","PVC","8~9","33.4","66.1","7","7","~","~","4",""
"PR279","PE","2.5","27.8","62.7","7","7~8","280","3","~",""
"PR279","PVC","12","28.2","63.5","7","6~7","~","3","5",""
"PR279","PS","3.4","27.7","61","7","7~8","300","~","~",""
"PR279","ABS","3.7","28.2","61.4","6~7","7","260","~","~",""
"PR242","PE","2.3","27.2","64.1","7~8","8","300","~","~",""
"PR242","PVC","8.8","27.3","57.8","7~8","8","~","~","5",""
"PR242","PS","2.4","27.6","62.1","7","7~8","300","~","~",""
"PR242","ABS","2.5","27.9","63.1","7","7","300","~","~",""
"PR242","PC","2.5","28.2","62.1","7~8","7~8","300","~","~",""
"PR149","PE","1.5","23.9","59.5","8","8","300","4","~",""
"PR149","PVC","5.2","21.6","61.1","7~8","8","~","4~5","5",""
"PR149","PS","1.5","19.2","56.9","8","8","300","~","~",""
"PR149","ABS","1.7","19.3","56.5","8","8","280","~","~",""
"PR149","PC","1.6","25.5","56.7","8","8","310","~","~",""
"PR53:1(LG","PE","1.8","22.1","64.2","2~3","3","270","~","~",""
"PR53:1(LG","PVC","7.1","23.8","64","2","6","~","~","4~5",""
"PR53:1(LG","PS","1.7","22","62.9","3~4","4","300","~","~",""
"PR53:1(LG","ABS","1.8","22.9","57.4","2~3","3","260","~","~",""
"PR53:1(LG","PC","1.7","21.5","62.2","2~3","3","310","~","~",""
"PR53:1(LC","PE","2.2","21.3","64.7","2~3","3","250","~","~",""
"PR53:1(LC","PVC","7.2","21.8","66.9","2","6","~","~","4~5",""
"PR53:1(LC","PS","1.7","25.6","62.4","3~4","4","300","~","~",""
"PR53:1(LC","ABS","1.9","22","62.7","3","3~4","260","~","~",""
"PR53:1(LC","PC","1.6","23","60.2","2~3","3","310","~","~",""
"PR38","PE","1.3","19.6","74.3","4~5","6","200","~","~",""
"PR38","PVC","3.3","17.4","59.2","5~6","6~7","~","~","3",""
"PR175","PE","2.2","15.9","47.2","8","8","270","4","~",""
"PR175","PVC","6.8","24.3","48.8","7","7~8","~","4","5",""
"PR175","PS","1.6","15.2","47.8","8","8","300","~","~",""
"PR175","ABS","1.8","16.1","49.1","8","8","290","~","~",""
"PR170(3RK","PE","2.2","13.1","55.9","7~8","8","270","3","~",""
"PR170(3RK","PVC","7.8","14.8","58.6","6~7","7~8","~","~","2",""
"PR247","PE","2.7","11.6","61","6","6~7","300","~","~",""
